Loading Hatespeech Dataset...
Loading cached embeddings from hatespeech_embeddings.npy
Running Exp A: Low Deferral (fc=5.0)...
Epoch [98][0/18] Loss 0.3165 | Acc 87.20
Epoch [98][10/18] Loss 0.3101 | Acc 88.48
Epoch [99][0/18] Loss 0.3164 | Acc 87.20
Epoch [99][10/18] Loss 0.3100 | Acc 88.49
Using k = 14 for k-NN
{'classifier_all_acc': 0.884180790960452}

--- Metrics for Low Deferral ---
Running Exp A: Med Deferral (fc=10.0)...
Epoch [0][0/18] Loss 1.4230 | Acc 15.70
Epoch [0][10/18] Loss 0.7316 | Acc 72.60
Epoch [1][0/18] Loss 0.4583 | Acc 84.20
Epoch [1][10/18] Loss 0.4293 | Acc 84.79
Epoch [2][0/18] Loss 0.4037 | Acc 83.80
Epoch [2][10/18] Loss 0.3875 | Acc 85.80
Epoch [3][0/18] Loss 0.3828 | Acc 85.40
Epoch [3][10/18] Loss 0.3725 | Acc 86.23
Epoch [4][0/18] Loss 0.3736 | Acc 85.50
Epoch [4][10/18] Loss 0.3634 | Acc 86.47
Epoch [5][0/18] Loss 0.3674 | Acc 85.90
Epoch [5][10/18] Loss 0.3574 | Acc 86.90
Epoch [6][0/18] Loss 0.3632 | Acc 86.20
Epoch [6][10/18] Loss 0.3530 | Acc 87.09
Epoch [7][0/18] Loss 0.3601 | Acc 86.40
Epoch [7][10/18] Loss 0.3494 | Acc 87.32
Epoch [8][0/18] Loss 0.3575 | Acc 86.50
Epoch [8][10/18] Loss 0.3465 | Acc 87.29
Epoch [9][0/18] Loss 0.3553 | Acc 86.60
Epoch [9][10/18] Loss 0.3440 | Acc 87.35
Epoch [10][0/18] Loss 0.3535 | Acc 86.70
Epoch [10][10/18] Loss 0.3419 | Acc 87.43
Epoch [11][0/18] Loss 0.3518 | Acc 86.90
Epoch [11][10/18] Loss 0.3400 | Acc 87.52
Epoch [12][0/18] Loss 0.3503 | Acc 87.00
Epoch [12][10/18] Loss 0.3384 | Acc 87.61
Epoch [13][0/18] Loss 0.3490 | Acc 87.00
Epoch [13][10/18] Loss 0.3370 | Acc 87.66
Epoch [14][0/18] Loss 0.3477 | Acc 87.10
Epoch [14][10/18] Loss 0.3357 | Acc 87.70
Epoch [15][0/18] Loss 0.3466 | Acc 87.20
Epoch [15][10/18] Loss 0.3345 | Acc 87.74
Epoch [16][0/18] Loss 0.3455 | Acc 87.10
Epoch [16][10/18] Loss 0.3334 | Acc 87.75
Epoch [17][0/18] Loss 0.3445 | Acc 87.20
Epoch [17][10/18] Loss 0.3325 | Acc 87.80
Epoch [18][0/18] Loss 0.3436 | Acc 87.40
Epoch [18][10/18] Loss 0.3316 | Acc 87.85
Epoch [19][0/18] Loss 0.3426 | Acc 87.30
Epoch [19][10/18] Loss 0.3307 | Acc 87.85
Epoch [20][0/18] Loss 0.3418 | Acc 87.40
Epoch [20][10/18] Loss 0.3299 | Acc 87.84
Epoch [21][0/18] Loss 0.3409 | Acc 87.40
Epoch [21][10/18] Loss 0.3292 | Acc 87.85
Epoch [22][0/18] Loss 0.3401 | Acc 87.40
Epoch [22][10/18] Loss 0.3285 | Acc 87.85
Epoch [23][0/18] Loss 0.3394 | Acc 87.40
Epoch [23][10/18] Loss 0.3278 | Acc 87.85
Epoch [24][0/18] Loss 0.3386 | Acc 87.60
Epoch [24][10/18] Loss 0.3272 | Acc 87.89
Epoch [25][0/18] Loss 0.3379 | Acc 87.60
Epoch [25][10/18] Loss 0.3266 | Acc 87.90
Epoch [26][0/18] Loss 0.3372 | Acc 87.60
Epoch [26][10/18] Loss 0.3260 | Acc 87.92
Epoch [27][0/18] Loss 0.3366 | Acc 87.50
Epoch [27][10/18] Loss 0.3255 | Acc 87.94
Epoch [28][0/18] Loss 0.3359 | Acc 87.50
Epoch [28][10/18] Loss 0.3250 | Acc 87.95
Epoch [29][0/18] Loss 0.3353 | Acc 87.50
Epoch [29][10/18] Loss 0.3245 | Acc 87.95
Epoch [30][0/18] Loss 0.3347 | Acc 87.40
Epoch [30][10/18] Loss 0.3240 | Acc 87.93
Epoch [31][0/18] Loss 0.3341 | Acc 87.40
Epoch [31][10/18] Loss 0.3235 | Acc 87.95
Epoch [32][0/18] Loss 0.3335 | Acc 87.40
Epoch [32][10/18] Loss 0.3231 | Acc 87.99
Epoch [33][0/18] Loss 0.3330 | Acc 87.40
Epoch [33][10/18] Loss 0.3227 | Acc 88.01
Epoch [34][0/18] Loss 0.3324 | Acc 87.30
Epoch [34][10/18] Loss 0.3223 | Acc 87.98
Epoch [35][0/18] Loss 0.3319 | Acc 87.30
Epoch [35][10/18] Loss 0.3219 | Acc 87.99
Epoch [36][0/18] Loss 0.3314 | Acc 87.30
Epoch [36][10/18] Loss 0.3215 | Acc 88.01
Epoch [37][0/18] Loss 0.3309 | Acc 87.30
Epoch [37][10/18] Loss 0.3211 | Acc 88.02
Epoch [38][0/18] Loss 0.3305 | Acc 87.30
Epoch [38][10/18] Loss 0.3208 | Acc 88.05
Epoch [39][0/18] Loss 0.3300 | Acc 87.30
Epoch [39][10/18] Loss 0.3204 | Acc 88.05
Epoch [40][0/18] Loss 0.3296 | Acc 87.30
Epoch [40][10/18] Loss 0.3201 | Acc 88.05
Epoch [41][0/18] Loss 0.3291 | Acc 87.20
Epoch [41][10/18] Loss 0.3198 | Acc 88.06
Epoch [42][0/18] Loss 0.3287 | Acc 87.20
Epoch [42][10/18] Loss 0.3195 | Acc 88.07
Epoch [43][0/18] Loss 0.3283 | Acc 87.30
Epoch [43][10/18] Loss 0.3192 | Acc 88.11
Epoch [44][0/18] Loss 0.3279 | Acc 87.30
Epoch [44][10/18] Loss 0.3189 | Acc 88.12
Epoch [45][0/18] Loss 0.3275 | Acc 87.30
Epoch [45][10/18] Loss 0.3186 | Acc 88.12
Epoch [46][0/18] Loss 0.3272 | Acc 87.30
Epoch [46][10/18] Loss 0.3183 | Acc 88.17
Epoch [47][0/18] Loss 0.3268 | Acc 87.40
Epoch [47][10/18] Loss 0.3180 | Acc 88.19
Epoch [48][0/18] Loss 0.3265 | Acc 87.40
Epoch [48][10/18] Loss 0.3178 | Acc 88.20
Epoch [49][0/18] Loss 0.3261 | Acc 87.40
Epoch [49][10/18] Loss 0.3175 | Acc 88.21
Epoch [50][0/18] Loss 0.3258 | Acc 87.50
Epoch [50][10/18] Loss 0.3173 | Acc 88.23
Epoch [51][0/18] Loss 0.3255 | Acc 87.50
Epoch [51][10/18] Loss 0.3170 | Acc 88.24
Epoch [52][0/18] Loss 0.3252 | Acc 87.50
Epoch [52][10/18] Loss 0.3168 | Acc 88.24
Epoch [53][0/18] Loss 0.3249 | Acc 87.50
Epoch [53][10/18] Loss 0.3166 | Acc 88.27
Epoch [54][0/18] Loss 0.3246 | Acc 87.60
Epoch [54][10/18] Loss 0.3164 | Acc 88.28
Epoch [55][0/18] Loss 0.3243 | Acc 87.60
Epoch [55][10/18] Loss 0.3161 | Acc 88.31
Epoch [56][0/18] Loss 0.3240 | Acc 87.60
Epoch [56][10/18] Loss 0.3159 | Acc 88.29
Epoch [57][0/18] Loss 0.3237 | Acc 87.60
Epoch [57][10/18] Loss 0.3157 | Acc 88.31
Epoch [58][0/18] Loss 0.3235 | Acc 87.60
Epoch [58][10/18] Loss 0.3155 | Acc 88.32
Epoch [59][0/18] Loss 0.3232 | Acc 87.60
Epoch [59][10/18] Loss 0.3153 | Acc 88.35
Epoch [60][0/18] Loss 0.3230 | Acc 87.60
Epoch [60][10/18] Loss 0.3151 | Acc 88.35
Epoch [61][0/18] Loss 0.3227 | Acc 87.60
Epoch [61][10/18] Loss 0.3149 | Acc 88.33
Epoch [62][0/18] Loss 0.3225 | Acc 87.60
Epoch [62][10/18] Loss 0.3148 | Acc 88.34
Epoch [63][0/18] Loss 0.3222 | Acc 87.60
Epoch [63][10/18] Loss 0.3146 | Acc 88.33
Epoch [64][0/18] Loss 0.3220 | Acc 87.50
Epoch [64][10/18] Loss 0.3144 | Acc 88.34
Epoch [65][0/18] Loss 0.3218 | Acc 87.60
Epoch [65][10/18] Loss 0.3142 | Acc 88.35
Epoch [66][0/18] Loss 0.3216 | Acc 87.60
Epoch [66][10/18] Loss 0.3141 | Acc 88.40
Epoch [67][0/18] Loss 0.3214 | Acc 87.50
Epoch [67][10/18] Loss 0.3139 | Acc 88.40
Epoch [68][0/18] Loss 0.3212 | Acc 87.40
Epoch [68][10/18] Loss 0.3137 | Acc 88.40
Epoch [69][0/18] Loss 0.3210 | Acc 87.40
Epoch [69][10/18] Loss 0.3136 | Acc 88.39
Epoch [70][0/18] Loss 0.3208 | Acc 87.40
Epoch [70][10/18] Loss 0.3134 | Acc 88.39
Epoch [71][0/18] Loss 0.3206 | Acc 87.40
Epoch [71][10/18] Loss 0.3133 | Acc 88.40
Epoch [72][0/18] Loss 0.3204 | Acc 87.40
Epoch [72][10/18] Loss 0.3131 | Acc 88.39
Epoch [73][0/18] Loss 0.3202 | Acc 87.40
Epoch [73][10/18] Loss 0.3130 | Acc 88.40
Epoch [74][0/18] Loss 0.3200 | Acc 87.30
Epoch [74][10/18] Loss 0.3129 | Acc 88.40
Epoch [75][0/18] Loss 0.3199 | Acc 87.40
Epoch [75][10/18] Loss 0.3127 | Acc 88.41
Epoch [76][0/18] Loss 0.3197 | Acc 87.40
Epoch [76][10/18] Loss 0.3126 | Acc 88.40
Epoch [77][0/18] Loss 0.3195 | Acc 87.40
Epoch [77][10/18] Loss 0.3125 | Acc 88.39
Epoch [78][0/18] Loss 0.3194 | Acc 87.40
Epoch [78][10/18] Loss 0.3123 | Acc 88.41
Epoch [79][0/18] Loss 0.3192 | Acc 87.40
Epoch [79][10/18] Loss 0.3122 | Acc 88.40
Epoch [80][0/18] Loss 0.3191 | Acc 87.40
Epoch [80][10/18] Loss 0.3121 | Acc 88.41
Epoch [81][0/18] Loss 0.3189 | Acc 87.40
Epoch [81][10/18] Loss 0.3120 | Acc 88.43
Epoch [82][0/18] Loss 0.3188 | Acc 87.40
Epoch [82][10/18] Loss 0.3118 | Acc 88.44
Epoch [83][0/18] Loss 0.3186 | Acc 87.40
Epoch [83][10/18] Loss 0.3117 | Acc 88.45
Epoch [84][0/18] Loss 0.3185 | Acc 87.30
Epoch [84][10/18] Loss 0.3116 | Acc 88.44
Epoch [85][0/18] Loss 0.3183 | Acc 87.30
Epoch [85][10/18] Loss 0.3115 | Acc 88.45
Epoch [86][0/18] Loss 0.3182 | Acc 87.30
Epoch [86][10/18] Loss 0.3114 | Acc 88.44
Epoch [87][0/18] Loss 0.3181 | Acc 87.30
Epoch [87][10/18] Loss 0.3113 | Acc 88.43
Epoch [88][0/18] Loss 0.3179 | Acc 87.30
Epoch [88][10/18] Loss 0.3112 | Acc 88.43
Epoch [89][0/18] Loss 0.3178 | Acc 87.30
Epoch [89][10/18] Loss 0.3111 | Acc 88.44
Epoch [90][0/18] Loss 0.3177 | Acc 87.30
Epoch [90][10/18] Loss 0.3110 | Acc 88.44
Epoch [91][0/18] Loss 0.3176 | Acc 87.30
Epoch [91][10/18] Loss 0.3109 | Acc 88.44
Epoch [92][0/18] Loss 0.3174 | Acc 87.30
Epoch [92][10/18] Loss 0.3108 | Acc 88.45
Epoch [93][0/18] Loss 0.3173 | Acc 87.30
Epoch [93][10/18] Loss 0.3107 | Acc 88.45
Epoch [94][0/18] Loss 0.3172 | Acc 87.30
Epoch [94][10/18] Loss 0.3106 | Acc 88.46
Epoch [95][0/18] Loss 0.3171 | Acc 87.30
Epoch [95][10/18] Loss 0.3105 | Acc 88.45
Epoch [96][0/18] Loss 0.3170 | Acc 87.30
Epoch [96][10/18] Loss 0.3104 | Acc 88.45
Epoch [97][0/18] Loss 0.3169 | Acc 87.30
Epoch [97][10/18] Loss 0.3103 | Acc 88.43
Epoch [98][0/18] Loss 0.3168 | Acc 87.30
Epoch [98][10/18] Loss 0.3102 | Acc 88.43
Epoch [99][0/18] Loss 0.3167 | Acc 87.30
Epoch [99][10/18] Loss 0.3102 | Acc 88.45
Using k = 14 for k-NN
{'classifier_all_acc': 0.8833736884584342}

--- Metrics for Med Deferral ---
Running Exp A: High Deferral (fc=25.0)...
Epoch [0][0/18] Loss 1.3548 | Acc 34.50
Epoch [0][10/18] Loss 0.7180 | Acc 74.04
Epoch [1][0/18] Loss 0.4554 | Acc 83.80
Epoch [1][10/18] Loss 0.4274 | Acc 84.69
Epoch [2][0/18] Loss 0.3983 | Acc 84.10
Epoch [2][10/18] Loss 0.3862 | Acc 85.77
Epoch [3][0/18] Loss 0.3789 | Acc 85.40
Epoch [3][10/18] Loss 0.3716 | Acc 86.09
Epoch [4][0/18] Loss 0.3705 | Acc 85.80
Epoch [4][10/18] Loss 0.3626 | Acc 86.52
Epoch [5][0/18] Loss 0.3646 | Acc 86.10
Epoch [5][10/18] Loss 0.3566 | Acc 86.95
Epoch [6][0/18] Loss 0.3607 | Acc 86.20
Epoch [6][10/18] Loss 0.3521 | Acc 87.12
Epoch [7][0/18] Loss 0.3579 | Acc 86.20
Epoch [7][10/18] Loss 0.3486 | Acc 87.25
Epoch [8][0/18] Loss 0.3555 | Acc 86.10
Epoch [8][10/18] Loss 0.3457 | Acc 87.25
Epoch [9][0/18] Loss 0.3535 | Acc 86.30
Epoch [9][10/18] Loss 0.3433 | Acc 87.39
Epoch [10][0/18] Loss 0.3518 | Acc 86.40
Epoch [10][10/18] Loss 0.3413 | Acc 87.43
Epoch [11][0/18] Loss 0.3503 | Acc 86.90
Epoch [11][10/18] Loss 0.3395 | Acc 87.55
Epoch [12][0/18] Loss 0.3489 | Acc 86.90
Epoch [12][10/18] Loss 0.3379 | Acc 87.64
Epoch [13][0/18] Loss 0.3476 | Acc 86.90
Epoch [13][10/18] Loss 0.3365 | Acc 87.62
Epoch [14][0/18] Loss 0.3465 | Acc 87.10
Epoch [14][10/18] Loss 0.3352 | Acc 87.74
Epoch [15][0/18] Loss 0.3454 | Acc 87.10
Epoch [15][10/18] Loss 0.3340 | Acc 87.74
Epoch [16][0/18] Loss 0.3444 | Acc 87.30
Epoch [16][10/18] Loss 0.3330 | Acc 87.81
Epoch [17][0/18] Loss 0.3435 | Acc 87.30
Epoch [17][10/18] Loss 0.3320 | Acc 87.79
Epoch [18][0/18] Loss 0.3426 | Acc 87.40
Epoch [18][10/18] Loss 0.3311 | Acc 87.81
Epoch [19][0/18] Loss 0.3417 | Acc 87.40
Epoch [19][10/18] Loss 0.3303 | Acc 87.83
Epoch [20][0/18] Loss 0.3409 | Acc 87.40
Epoch [20][10/18] Loss 0.3295 | Acc 87.82
Epoch [21][0/18] Loss 0.3401 | Acc 87.40
Epoch [21][10/18] Loss 0.3288 | Acc 87.84
Epoch [22][0/18] Loss 0.3393 | Acc 87.60
Epoch [22][10/18] Loss 0.3281 | Acc 87.85
Epoch [23][0/18] Loss 0.3386 | Acc 87.70
Epoch [23][10/18] Loss 0.3274 | Acc 87.82
Epoch [24][0/18] Loss 0.3379 | Acc 87.70
Epoch [24][10/18] Loss 0.3268 | Acc 87.88
Epoch [25][0/18] Loss 0.3372 | Acc 87.70
Epoch [25][10/18] Loss 0.3262 | Acc 87.92
Epoch [26][0/18] Loss 0.3365 | Acc 87.50
Epoch [26][10/18] Loss 0.3257 | Acc 87.91
Epoch [27][0/18] Loss 0.3358 | Acc 87.50
Epoch [27][10/18] Loss 0.3251 | Acc 87.94
Epoch [28][0/18] Loss 0.3352 | Acc 87.40
Epoch [28][10/18] Loss 0.3246 | Acc 87.91
Epoch [29][0/18] Loss 0.3346 | Acc 87.40
Epoch [29][10/18] Loss 0.3241 | Acc 87.95
Epoch [30][0/18] Loss 0.3340 | Acc 87.30
Epoch [30][10/18] Loss 0.3237 | Acc 87.92
Epoch [31][0/18] Loss 0.3334 | Acc 87.30
Epoch [31][10/18] Loss 0.3232 | Acc 87.90
Epoch [32][0/18] Loss 0.3329 | Acc 87.30
Epoch [32][10/18] Loss 0.3228 | Acc 87.92
Epoch [33][0/18] Loss 0.3323 | Acc 87.30
Epoch [33][10/18] Loss 0.3224 | Acc 87.92
Epoch [34][0/18] Loss 0.3318 | Acc 87.30
Epoch [34][10/18] Loss 0.3220 | Acc 87.93
Epoch [35][0/18] Loss 0.3313 | Acc 87.30
